http_code|time_total|size|elapsed_ms|rate_headers
200|0.183338|94937|300|
200|0.304900|94938|415|
200|0.420337|94938|528|
200|0.195915|94936|308|
200|0.211034|94938|322|
200|0.184869|95001|290|
200|0.180001|94936|292|
200|0.195940|94937|310|
200|0.195946|95002|303|
200|0.193212|95002|306|
200|0.191134|94939|304|
200|0.212041|94937|327|
200|0.185797|94939|300|
200|0.232556|94937|333|
200|0.214482|94939|322|
200|0.190901|94939|300|
200|0.191802|94939|302|
200|0.191489|94939|311|
200|0.236706|94939|353|
200|0.188666|94937|304|
